Sample,Record ID,Max Distance,Strain,Number of Contigs
GCF_002150345_1_ASM215034v1_genomic,002150345,0.000156838,Brucella melitensis,44
GCF_000365605_1_Bruc_abor_F2_06-8_V1_genomic,000365605,7.82718e-05,Brucella abortus,4
GCF_000209615_2_ASM20961v2_genomic,000209615,7.82718e-05,Brucella melitensis,32
GCF_006506995_1_ASM650699v1_genomic,006506995,0.000156838,Brucella melitensis,25
GCF_000478665_1_Bruc_abor_biovar_1_80-1399_V1_genomic,000478665,0.0,Brucella abortus,7
GCF_000157795_1_ASM15779v1_genomic,000157795,0.00112327,Brucella pinnipedialis,89
GCF_000370325_1_Bruc_abor_877_67_V1_genomic,000370325,0.0,Brucella abortus,9
GCF_002191695_1_ASM219169v1_genomic,002191695,7.82718e-05,Brucella melitensis,2
GCF_002191255_1_ASM219125v1_genomic,002191255,7.82718e-05,Brucella melitensis,2
GCF_000157815_1_ASM15781v1_genomic,000157815,0.000235701,Brucella pinnipedialis,19
GCF_001302495_1_ASM130249v1_genomic,001302495,0.000156838,Brucella melitensis,44
GCF_006507475_1_ASM650747v1_genomic,006507475,0.000235701,Brucella melitensis,27
GCF_002191455_1_ASM219145v1_genomic,002191455,0.000235701,Brucella melitensis,2
GCF_003993905_1_ASM399390v1_genomic,003993905,7.82718e-05,Brucella melitensis,25
GCF_900236515_1_Bru_genome43_genomic,900236515,0.000314862,Brucella melitensis,2
GCF_000365565_1_Bruc_suis_F8_06-2_V1_genomic,000365565,0.0005541519999999999,Brucella suis,17
GCF_003194855_1_ASM319485v1_genomic,003194855,7.82718e-05,Brucella suis,72
GCF_001038665_1_ASM103866v1_genomic,001038665,7.82718e-05,Brucella abortus,25
GCF_000366485_1_Bruc_abor_93_1_V1_genomic,000366485,0.0,Brucella abortus,4
GCF_006506035_1_ASM650603v1_genomic,006506035,0.000156838,Brucella melitensis,27
GCF_900236375_1_Bru_genome9_genomic,900236375,0.000394323,Brucella melitensis,2
GCF_000227645_1_ASM22764v1_genomic,000227645,0.000235701,Brucella melitensis,2
GCF_001302485_1_ASM130248v1_genomic,001302485,0.000156838,Brucella melitensis,80
GCF_002191515_1_ASM219151v1_genomic,002191515,0.000235701,Brucella melitensis,2
GCF_001402105_1_ASM140210v1_genomic,001402105,0.000156838,Brucella abortus,18
GCF_000371345_1_Bruc_ovis_IntaBari-2010-47-268_V1_genomic,000371345,0.0,Brucella ovis,23
GCF_002749475_1_ASM274947v1_genomic,002749475,0.0,Brucella suis,2
GCF_000371265_1_Bruc_suis_F7_06-5_V1_genomic,000371265,0.000235701,Brucella suis,3
GCF_000245855_1_Bruc_abor_bv1_NI486_V1_genomic,000245855,0.0,Brucella abortus,4
GCF_003516065_1_ASM351606v1_genomic,003516065,7.82718e-05,Brucella melitensis,2
GCF_001856215_1_ASM185621v1_genomic,001856215,0.000156838,Brucella abortus,23
GCF_006508005_1_ASM650800v1_genomic,006508005,0.000156838,Brucella melitensis,37
GCF_003432005_1_ASM343200v1_genomic,003432005,0.000235701,Brucella melitensis,21
GCF_006517295_1_ASM651729v1_genomic,006517295,0.000314862,Brucella melitensis,29
GCF_006507455_1_ASM650745v1_genomic,006507455,0.000314862,Brucella melitensis,28
GCF_900446025_1_58932_E01_genomic,900446025,7.82718e-05,Brucella abortus,2
GCF_002204265_1_ASM220426v1_genomic,002204265,0.0,Brucella melitensis,35
GCF_002631235_1_ASM263123v1_genomic,002631235,7.82718e-05,Brucella melitensis,46
GCF_001715465_1_ASM171546v1_genomic,001715465,0.000235701,Brucella melitensis,2
GCF_900236335_1_Bru_genome7_genomic,900236335,0.000314862,Brucella melitensis,2
GCF_000192885_1_ASM19288v1_genomic,000192885,7.82718e-05,Brucella melitensis,2
GCF_001715425_1_ASM171542v1_genomic,001715425,0.0,Brucella suis,2
GCF_009665015_1_ASM966501v1_genomic,009665015,0.0,Brucella sp,73
GCF_000413835_1_Bruc_abor_biovar_1_B10-0973_V1_genomic,000413835,7.82718e-05,Brucella abortus,4
GCF_000371185_1_Bruc_suis_5_05-10_V1_genomic,000371185,7.82718e-05,Brucella suis,5
GCF_006506385_1_ASM650638v1_genomic,006506385,0.000156838,Brucella melitensis,29
GCF_006517305_1_ASM651730v1_genomic,006517305,0.0005541519999999999,Brucella melitensis,47
GCF_002191875_1_ASM219187v1_genomic,002191875,0.000235701,Brucella melitensis,2
GCF_003994435_1_ASM399443v1_genomic,003994435,7.82718e-05,Brucella abortus,2
GCF_000370085_1_Bruc_abor_64_108_V1_genomic,000370085,7.82718e-05,Brucella abortus,2
GCF_000413675_1_Bruc_abor_biovar_4_90-0775_V1_genomic,000413675,0.0,Brucella abortus,4
GCF_001431745_1_ASM143174v1_genomic,001431745,7.82718e-05,Brucella melitensis,2
GCF_900236355_1_Bru_genome20_genomic,900236355,0.000394323,Brucella melitensis,2
GCF_000365945_1_Bruc_ovis_IntaBari-2001-319-5096_V1_genomic,000365945,0.0,Brucella ovis,36
GCF_001937875_1_ASM193787v1_genomic,001937875,0.000235701,Brucella melitensis,30
GCF_006506835_1_ASM650683v1_genomic,006506835,0.000156838,Brucella melitensis,31
GCF_900417255_1_00-3099-5733_genomic,900417255,0.000235701,Brucella melitensis,24
GCF_006507185_1_ASM650718v1_genomic,006507185,0.000156838,Brucella melitensis,33
GCF_002263015_1_ASM226301v1_genomic,002263015,0.0,Brucella melitensis,2
GCF_000366885_1_Bruc_meli_CNGB_1120_V1_genomic,000366885,7.82718e-05,Brucella melitensis,4
GCF_002192115_1_ASM219211v1_genomic,002192115,0.000235701,Brucella melitensis,2
GCF_006507225_1_ASM650722v1_genomic,006507225,0.000235701,Brucella melitensis,54
GCF_009601725_1_ASM960172v1_genomic,009601725,0.0,Brucella sp,2
GCF_000365585_1_Bruc_suis_F5_03-2_V1_genomic,000365585,7.82718e-05,Brucella suis,9
GCF_900446155_1_59302_G01_genomic,900446155,0.006404300000000001,Brucella suis,66
GCF_000370105_1_Bruc_abor_64_81_V1_genomic,000370105,7.82718e-05,Brucella abortus,3
GCF_000370545_1_Bruc_abor_NI495a_V1_genomic,000370545,0.0,Brucella abortus,4
GCF_000740375_1_ASM74037v1_genomic,000740375,0.0,Brucella abortus,2
GCF_001078335_1_B_canis_SCL_genomic,001078335,0.000394323,Brucella canis,48
GCF_000370045_1_Bruc_abor_63_168_V1_genomic,000370045,0.0,Brucella abortus,10
GCF_000371145_1_Bruc_suis_CNGB_247_V1_genomic,000371145,7.82718e-05,Brucella suis,9
GCF_006506745_1_ASM650674v1_genomic,006506745,0.000156838,Brucella melitensis,31
GCF_000414015_1_Bruc_abor_biovar_1_82-2330_V1_genomic,000414015,0.0,Brucella abortus,4
GCF_900417245_1_00-3099-5734_genomic,900417245,0.000235701,Brucella melitensis,25
GCF_900446045_1_58932_D01_genomic,900446045,0.000156838,Brucella abortus,2
GCF_006507945_1_ASM650794v1_genomic,006507945,0.000156838,Brucella melitensis,35
GCF_006507595_1_ASM650759v1_genomic,006507595,0.000314862,Brucella melitensis,25
GCF_006506025_1_ASM650602v1_genomic,006506025,0.000314862,Brucella melitensis,25
GCF_001702305_1_ASM170230v1_genomic,001702305,0.000235701,Brucella melitensis,30
GCF_000413815_1_Bruc_abor_biovar_1_B10-0018_V1_genomic,000413815,0.0,Brucella abortus,4
GCF_003994095_1_ASM399409v1_genomic,003994095,0.000156838,Brucella melitensis,26
GCF_006507965_1_ASM650796v1_genomic,006507965,0.000235701,Brucella melitensis,31
GCF_000370345_1_Bruc_abor_88_217_V1_genomic,000370345,0.00112327,Brucella abortus,10
GCF_000740435_1_ASM74043v1_genomic,000740435,7.82718e-05,Brucella suis,2
GCF_000701065_1_Bru1330_genomic,000701065,0.000156838,Brucella suis,112
GCF_000370025_1_Bruc_abor_63_144_V1_genomic,000370025,7.82718e-05,Brucella abortus,4
GCF_006506855_1_ASM650685v1_genomic,006506855,0.000156838,Brucella melitensis,31
GCF_006506515_1_ASM650651v1_genomic,006506515,0.000796189,Brucella melitensis,80
GCF_002291305_1_ASM229130v1_genomic,002291305,0.00179282,Brucella abortus,2
GCF_000182625_1_ASM18262v1_genomic,000182625,0.0,Brucella abortus,9
GCF_000157855_1_ASM15785v1_genomic,000157855,0.000394323,Brucella ceti,22
GCF_002291245_1_ASM229124v1_genomic,002291245,7.82718e-05,Brucella abortus,2
GCF_000367025_1_Bruc_meli_R3_07-2_V1_genomic,000367025,0.000235701,Brucella melitensis,10
GCF_002192055_1_ASM219205v1_genomic,002192055,0.000235701,Brucella melitensis,2
GCF_000742215_1_ASM74221v1_genomic,000742215,0.000235701,Brucella abortus,2
GCF_000158695_1_ASM15869v1_genomic,000158695,0.000156838,Brucella melitensis,26
GCF_006507075_1_ASM650707v1_genomic,006507075,0.000156838,Brucella melitensis,30
GCF_002291285_1_ASM229128v1_genomic,002291285,0.000235701,Brucella abortus,2
GCF_000479995_1_Bruc_abor_03-2770-11_V1_genomic,000479995,0.0,Brucella abortus,5
GCF_000698245_1_ASM69824v1_genomic,000698245,7.82718e-05,Brucella suis,2
GCF_001401995_1_ASM140199v1_genomic,001401995,7.82718e-05,Brucella abortus,19
GCF_002191895_1_ASM219189v1_genomic,002191895,7.82718e-05,Brucella melitensis,2
GCF_000158795_1_ASM15879v1_genomic,000158795,7.82718e-05,Brucella abortus,13
GCF_006506395_1_ASM650639v1_genomic,006506395,0.000156838,Brucella melitensis,35
GCF_000370685_1_Bruc_meli_F8_01-155_V1_genomic,000370685,7.82718e-05,Brucella melitensis,11
GCF_000413555_1_Bruc_abor_biovar_2_82-3893_V1_genomic,000413555,0.0,Brucella abortus,4
GCF_900236345_1_Bru_genome47_genomic,900236345,0.000314862,Brucella melitensis,2
GCF_002278695_1_ASM227869v1_genomic,002278695,0.000156838,Brucella melitensis,47
GCF_003994025_1_ASM399402v1_genomic,003994025,0.000156838,Brucella abortus,17
GCF_006507445_1_ASM650744v1_genomic,006507445,0.000156838,Brucella melitensis,28
GCF_000370825_1_Bruc_meli_UK3_06_V1_genomic,000370825,7.82718e-05,Brucella melitensis,3
GCF_000370745_1_Bruc_meli_UK22_04_V1_genomic,000370745,0.000314862,Brucella melitensis,36
GCF_900236445_1_Bru_genome2_genomic,900236445,0.000394323,Brucella melitensis,2
GCF_003993965_1_ASM399396v1_genomic,003993965,0.000156838,Brucella melitensis,25
GCF_006506965_1_ASM650696v1_genomic,006506965,0.000314862,Brucella melitensis,31
GCF_002150395_1_ASM215039v1_genomic,002150395,0.000235701,Brucella melitensis,55
GCF_009664935_1_ASM966493v1_genomic,009664935,0.0,Brucella sp,80
GCF_000742255_1_ASM74225v1_genomic,000742255,0.000314862,Brucella neotomae,1
GCF_000366505_1_Bruc_abor_CNGB_1011_V1_genomic,000366505,0.0,Brucella abortus,2
GCF_001856195_1_ASM185619v1_genomic,001856195,0.000235701,Brucella abortus,27
GCF_900491915_1_07-2859-6070_genomic,900491915,0.000156838,Brucella canis,29
GCF_002191795_1_ASM219179v1_genomic,002191795,7.82718e-05,Brucella melitensis,2
GCF_000371325_1_Bruc_suis_F9_06-1_V1_genomic,000371325,0.0,Brucella suis,20
GCF_000331635_1_Brucella_019_genomic,000331635,0.000634523,Brucella suis,30
GCF_000367085_1_Bruc_ovis_F8_05B_V1_genomic,000367085,0.0,Brucella ovis,35
GCF_002191415_1_ASM219141v1_genomic,002191415,0.000235701,Brucella melitensis,2
GCF_000480195_1_Bruc_sp_04-5288_V1_genomic,000480195,0.000314862,Brucella suis,63
GCF_002191755_1_ASM219175v1_genomic,002191755,0.000156838,Brucella melitensis,2
GCF_900236495_1_Bru_genome46_genomic,900236495,0.000394323,Brucella melitensis,2
GCF_000740175_1_ASM74017v1_genomic,000740175,7.82718e-05,Brucella abortus,2
GCF_004208695_1_ASM420869v1_genomic,004208695,7.82718e-05,Brucella melitensis,2
GCF_000370365_1_Bruc_abor_F1_06-B21_V1_genomic,000370365,0.000314862,Brucella abortus,4
GCF_009017395_1_ASM901739v1_genomic,009017395,0.0,Brucella melitensis,2
GCF_006505895_1_ASM650589v1_genomic,006505895,0.000156838,Brucella melitensis,25
GCF_000238195_1_ASM23819v1_genomic,000238195,0.000394323,Brucella canis,2
GCF_000413595_1_Bruc_abor_biovar_1_85-1058_V1_genomic,000413595,7.82718e-05,Brucella abortus,4
GCF_006507775_1_ASM650777v1_genomic,006507775,0.000235701,Brucella melitensis,30
GCF_001971625_1_ASM197162v1_genomic,001971625,0.0221763,Brucella sp,2
GCF_000480215_1_Bruc_meli_11-1823-3434_V1_genomic,000480215,7.82718e-05,Brucella melitensis,13
GCF_000370225_1_Bruc_abor_80_101_V1_genomic,000370225,0.000715202,Brucella abortus,8
GCF_002266775_1_ASM226677v1_genomic,002266775,0.000235701,Brucella melitensis,49
GCF_004137275_1_ASM413727v1_genomic,004137275,0.000156838,Brucella abortus,6
GCF_008761615_1_ASM876161v1_genomic,008761615,0.000156838,Brucella melitensis,2
GCF_006506605_1_ASM650660v1_genomic,006506605,0.000156838,Brucella melitensis,27
GCF_000157875_1_ASM15787v1_genomic,000157875,0.0,Brucella sp,20
GCF_001307475_2_ASM130747v2_genomic,001307475,0.0,Brucella melitensis,2
GCF_000366565_1_Bruc_abor_CNGB_436_V1_genomic,000366565,7.82718e-05,Brucella abortus,3
GCF_001402025_1_ASM140202v1_genomic,001402025,7.82718e-05,Brucella abortus,19
GCF_006506675_1_ASM650667v1_genomic,006506675,0.000314862,Brucella melitensis,113
GCF_900236405_1_Bru_genome13_genomic,900236405,0.000474086,Brucella melitensis,2
GCF_002191555_1_ASM219155v1_genomic,002191555,0.000235701,Brucella melitensis,2
GCF_000365985_1_Bruc_ovis_IntaBari-2008-114-542_V1_genomic,000365985,0.0,Brucella ovis,22
GCF_002192075_1_ASM219207v1_genomic,002192075,0.000235701,Brucella melitensis,2
GCF_000366305_1_Bruc_abor_67_781_V1_genomic,000366305,0.0,Brucella abortus,4
GCF_000741995_1_ASM74199v1_genomic,000741995,7.82718e-05,Brucella suis,2
GCF_000366765_1_Bruc_abor_NI633_V1_genomic,000366765,0.0,Brucella abortus,4
GCF_003994185_1_ASM399418v1_genomic,003994185,0.000156838,Brucella melitensis,26
GCF_003989725_1_ASM398972v1_genomic,003989725,0.00112327,Brucella abortus,44
GCF_000160295_1_ASM16029v1_genomic,000160295,7.82718e-05,Brucella melitensis,15
GCF_006507345_1_ASM650734v1_genomic,006507345,0.000156838,Brucella melitensis,28
GCF_006505925_1_ASM650592v1_genomic,006505925,0.000314862,Brucella melitensis,45
GCF_000366145_1_Bruc_abor_CNGB_759_V1_genomic,000366145,0.0,Brucella abortus,3
GCF_000365845_1_Bruc_meli_F15_06-7_V1_genomic,000365845,0.000156838,Brucella melitensis,12
GCF_000223195_1_ASM22319v1_genomic,000223195,0.0,Brucella suis,2
GCF_006507905_1_ASM650790v1_genomic,006507905,0.000156838,Brucella melitensis,23
GCF_000292105_1_ASM29210v2_genomic,000292105,0.000394323,Brucella suis,271
GCF_006508035_1_ASM650803v1_genomic,006508035,0.000156838,Brucella melitensis,35
GCF_002204345_1_ASM220434v1_genomic,002204345,0.0,Brucella melitensis,43
GCF_002191635_1_ASM219163v1_genomic,002191635,0.000235701,Brucella melitensis,2
GCF_900095155_1_BR141012304v1_genomic,900095155,0.0212513,Brucella sp,2
GCF_000740335_1_ASM74033v1_genomic,000740335,0.0,Brucella canis,2
GCF_000740295_1_ASM74029v1_genomic,000740295,0.0,Brucella abortus,2
GCF_000016845_1_ASM1684v1_genomic,000016845,0.0,Brucella ovis,2
GCF_000370785_1_Bruc_meli_Uk24_06_V1_genomic,000370785,0.000394323,Brucella melitensis,7
GCF_000367125_1_Bruc_sp_UK38_05_V1_genomic,000367125,0.000314862,Brucella ceti,49
GCF_000413795_1_Bruc_abor_biovar_1_01-0065_V1_genomic,000413795,7.82718e-05,Brucella abortus,4
GCF_002191315_1_ASM219131v1_genomic,002191315,7.82718e-05,Brucella melitensis,2
GCF_000370765_1_Bruc_meli_UK23_06_V1_genomic,000370765,0.000314862,Brucella melitensis,6
GCF_900236535_1_Bru_genome4_genomic,900236535,0.000474086,Brucella melitensis,2
GCF_000366945_1_Bruc_meli_F2_06-6_V1_genomic,000366945,7.82718e-05,Brucella melitensis,15
GCF_006506935_1_ASM650693v1_genomic,006506935,0.000235701,Brucella melitensis,26
GCF_001715405_1_ASM171540v1_genomic,001715405,0.000394323,Brucella canis,2
GCF_900446085_1_59302_C02_genomic,900446085,0.0023962,Brucella melitensis,27
GCF_000699025_1_ASM69902v1_genomic,000699025,7.82718e-05,Brucella suis,2
GCF_002278575_1_ASM227857v1_genomic,002278575,0.000235701,Brucella melitensis,49
GCF_000366005_1_Bruc_ovis_IntaBari-1993-758_V1_genomic,000366005,0.0,Brucella ovis,24
GCF_000366545_1_Bruc_abor_CNGB_308_V1_genomic,000366545,0.0,Brucella abortus,4
GCF_000370205_1_Bruc_abor_78_32_V1_genomic,000370205,0.000715202,Brucella abortus,9
GCF_001402075_1_ASM140207v1_genomic,001402075,7.82718e-05,Brucella abortus,19
GCF_001971805_1_ASM197180v1_genomic,001971805,0.0,Brucella sp,2
GCF_006508015_1_ASM650801v1_genomic,006508015,0.000314862,Brucella melitensis,35
GCF_000739315_1_ASM73931v1_genomic,000739315,0.000235701,Brucella abortus,33
GCF_000413975_1_Bruc_abor_biovar_1_89-0363_V1_genomic,000413975,0.0,Brucella abortus,4
GCF_006506015_1_ASM650601v1_genomic,006506015,0.000156838,Brucella melitensis,26
GCF_006506665_1_ASM650666v1_genomic,006506665,0.000235701,Brucella melitensis,29
GCF_000413955_1_Bruc_abor_biovar_1_B10-0091_V1_genomic,000413955,0.0,Brucella abortus,4
GCF_000245935_1_Bruc_abor_bv1_NI016_V1_genomic,000245935,0.0,Brucella abortus,3
GCF_000739335_1_ASM73933v1_genomic,000739335,0.00112327,Brucella abortus,24
GCF_001940595_1_ASM194059v1_genomic,001940595,0.000235701,Brucella abortus,243
GCF_000370525_1_Bruc_abor_NI422_V1_genomic,000370525,0.0,Brucella abortus,4
GCF_002191595_1_ASM219159v1_genomic,002191595,0.000235701,Brucella melitensis,2
GCF_002214285_1_ASM221428v1_genomic,002214285,0.000314862,Brucella melitensis,2
GCF_006507795_1_ASM650779v1_genomic,006507795,0.00179282,Brucella melitensis,101
GCF_001856295_1_ASM185629v1_genomic,001856295,0.0,Brucella melitensis,28
GCF_000371285_1_Bruc_suis_F8_06-1_V1_genomic,000371285,0.0,Brucella suis,18
GCF_006506575_1_ASM650657v1_genomic,006506575,0.000156838,Brucella melitensis,22
GCF_000160275_1_ASM16027v1_genomic,000160275,7.82718e-05,Brucella suis,12
GCF_001307425_1_ASM130742v1_genomic,001307425,0.0,Brucella melitensis,42
GCF_001766405_1_ASM176640v1_genomic,001766405,7.82718e-05,Brucella melitensis,42
GCF_006507425_1_ASM650742v1_genomic,006507425,0.000156838,Brucella melitensis,25
GCF_001715505_1_ASM171550v1_genomic,001715505,0.000156838,Brucella abortus,37
GCF_002871075_1_ASM287107v1_genomic,002871075,7.82718e-05,Brucella melitensis,2
GCF_000366085_1_Bruc_suis_63_252_V1_genomic,000366085,7.82718e-05,Brucella suis,8
GCF_002290705_1_ASM229070v1_genomic,002290705,0.00265998,Brucella abortus,2
GCF_000018725_1_ASM1872v1_genomic,000018725,0.0,Brucella abortus,2
GCF_006506195_1_ASM650619v1_genomic,006506195,0.000314862,Brucella melitensis,25
GCF_000157695_1_ASM15769v1_genomic,000157695,7.82718e-05,Brucella abortus,12
GCF_006506815_1_ASM650681v1_genomic,006506815,0.000235701,Brucella melitensis,41
GCF_006506225_1_ASM650622v1_genomic,006506225,0.000314862,Brucella melitensis,29
GCF_000369985_1_Bruc_abor_63_130_V1_genomic,000369985,0.0,Brucella abortus,4
GCF_000480275_1_Bruc_cani_96-7258_V1_genomic,000480275,0.0,Brucella canis,4
GCF_006506295_1_ASM650629v1_genomic,006506295,0.000235701,Brucella melitensis,28
GCF_006507555_1_ASM650755v1_genomic,006507555,0.000156838,Brucella melitensis,30
GCF_006506235_1_ASM650623v1_genomic,006506235,0.000235701,Brucella melitensis,26
GCF_006507565_1_ASM650756v1_genomic,006507565,0.000314862,Brucella melitensis,29
GCF_000398805_1_Bruc_abor_93_2_V1_genomic,000398805,7.82718e-05,Brucella abortus,10
GCF_000370625_1_Bruc_meli_BG2_S27_V1_genomic,000370625,0.0,Brucella melitensis,10
GCF_000365705_1_Bruc_suis_F4_06-146_V1_genomic,000365705,7.82718e-05,Brucella suis,11
GCF_000163115_1_ASM16311v1_genomic,000163115,0.000235701,Brucella abortus,48
GCF_000366125_1_Bruc_abor_CNGB_752_V1_genomic,000366125,0.0,Brucella abortus,3
GCF_000221005_1_ASM22100v1_genomic,000221005,0.000235701,Brucella pinnipedialis,2
GCF_004127195_1_ASM412719v1_genomic,004127195,0.000474086,Brucella canis,54
GCF_000366785_1_Bruc_abor_NI645_V1_genomic,000366785,0.0,Brucella abortus,4
GCF_000177155_1_ASM17715v1_genomic,000177155,0.0,Brucella sp,113
GCF_000370185_1_Bruc_abor_78_14_V1_genomic,000370185,7.82718e-05,Brucella abortus,5
GCF_000365685_1_Bruc_abor_NI388_V1_genomic,000365685,0.0,Brucella abortus,3
GCF_003989965_1_ASM398996v1_genomic,003989965,0.00112327,Brucella abortus,50
GCF_900417225_1_00-2529-3_genomic,900417225,0.000314862,Brucella melitensis,30
GCF_003993955_1_ASM399395v1_genomic,003993955,0.0,Brucella melitensis,26
GCF_002192095_1_ASM219209v1_genomic,002192095,0.000235701,Brucella melitensis,2
GCF_000413515_1_Bruc_ovis_IntaBari-2009-88-3_V1_genomic,000413515,0.0,Brucella ovis,107
GCF_000365925_1_Bruc_ovis_IntaBari-2002-82-58_V1_genomic,000365925,0.0,Brucella ovis,23
GCF_002290745_1_ASM229074v1_genomic,002290745,0.00112327,Brucella abortus,2
GCF_000370485_1_Bruc_abor_F6_05-9_V1_genomic,000370485,7.82718e-05,Brucella abortus,13
GCF_000600055_1_ASM60005v1_genomic,000600055,0.0,Brucella suis,2
GCF_002895125_1_ASM289512v1_genomic,002895125,7.82718e-05,Brucella melitensis,2
GCF_000366065_1_Bruc_ovis_IntaBari-2006-46-348_V1_genomic,000366065,7.82718e-05,Brucella ovis,38
GCF_006507745_1_ASM650774v1_genomic,006507745,0.000235701,Brucella melitensis,22
GCF_000366225_1_Bruc_suis_92_63_V1_genomic,000366225,0.000156838,Brucella suis,2
GCF_900236435_1_Bru_genome23_genomic,900236435,0.000474086,Brucella melitensis,2
GCF_002192135_1_ASM219213v1_genomic,002192135,0.000156838,Brucella melitensis,2
GCF_000157715_1_ASM15771v1_genomic,000157715,0.000314862,Brucella abortus,13
GCF_000413535_1_Bruc_abor_biovar_4_68-3396P_V1_genomic,000413535,0.0,Brucella abortus,4
GCF_002191615_1_ASM219161v1_genomic,002191615,7.82718e-05,Brucella melitensis,2
GCF_000370725_1_Bruc_meli_UK14_06_V1_genomic,000370725,0.000314862,Brucella melitensis,7
GCF_000298615_1_V1_0_of_Brucella_melitensis_bv_3_str_128_genomic,000298615,7.82718e-05,Brucella melitensis,123
GCF_003984745_1_ASM398474v1_genomic,003984745,0.0,Brucella abortus,45
GCF_000370385_1_Bruc_abor_F10_05-11_V1_genomic,000370385,0.0,Brucella abortus,4
GCF_000413575_1_Bruc_abor_biovar_1_84-0928_V1_genomic,000413575,0.0,Brucella abortus,4
GCF_003965945_1_ASM396594v1_genomic,003965945,0.0,Brucella abortus,38
GCF_003244395_2_ASM324439v2_genomic,003244395,0.000235701,Brucella abortus,24
GCF_003994155_1_ASM399415v1_genomic,003994155,7.82718e-05,Brucella abortus,16
GCF_006507495_1_ASM650749v1_genomic,006507495,0.000156838,Brucella melitensis,29
GCF_900095085_1_14913_1_10_genomic,900095085,0.0,Brucella abortus,2
GCF_006507765_1_ASM650776v1_genomic,006507765,0.000156838,Brucella melitensis,36
GCF_900491895_1_07-2859-6071_genomic,900491895,0.000394323,Brucella canis,25
GCF_000366285_1_Bruc_abor_64_122_V1_genomic,000366285,0.0,Brucella abortus,4
GCF_002191715_1_ASM219171v1_genomic,002191715,0.0,Brucella melitensis,2
GCF_000370965_1_Bruc_sp_F23_97_V1_genomic,000370965,0.0,Brucella sp,56
GCF_002191995_1_ASM219199v1_genomic,002191995,0.0,Brucella melitensis,2
GCF_001856365_1_ASM185636v1_genomic,001856365,0.0,Brucella melitensis,26
GCF_000698285_1_ASM69828v1_genomic,000698285,7.82718e-05,Brucella suis,2
GCF_001608425_1_BMEL003-SEQ-1-ASM-1_genomic,001608425,0.000314862,Brucella melitensis,21
GCF_000940435_1_Brucella_melitensis_MY1483_09_genomic,000940435,7.82718e-05,Brucella melitensis,28
GCF_000365765_1_Bruc_abor_F6_05-2_V1_genomic,000365765,0.000156838,Brucella abortus,12
GCF_000371085_1_Bruc_suis_01-5744_V1_genomic,000371085,0.0,Brucella suis,6
GCF_000367285_1_Bruc_cani_CNGB_1324_V1_genomic,000367285,0.000314862,Brucella canis,2
GCF_001702335_1_ASM170233v1_genomic,001702335,0.000235701,Brucella melitensis,32
GCF_000366165_1_Bruc_abor_CNGB_966_V1_genomic,000366165,0.0,Brucella abortus,2
GCF_002192195_1_ASM219219v1_genomic,002192195,0.000235701,Brucella melitensis,2
GCF_006506625_1_ASM650662v1_genomic,006506625,0.000394323,Brucella melitensis,25
GCF_900417235_1_00-2782_genomic,900417235,0.000156838,Brucella melitensis,25
GCF_009665065_1_ASM966506v1_genomic,009665065,0.0,Brucella sp,78
GCF_900236585_1_Bru_genome1_genomic,900236585,0.000394323,Brucella melitensis,2
GCF_006507685_1_ASM650768v1_genomic,006507685,0.000156838,Brucella melitensis,24
GCF_000298595_1_V1_0_of_Brucella_melitensis_bv_1_str_133_genomic,000298595,7.82718e-05,Brucella melitensis,173
GCF_001715445_1_ASM171544v1_genomic,001715445,0.000156838,Brucella canis,2
GCF_002191775_1_ASM219177v1_genomic,002191775,0.000156838,Brucella melitensis,2
GCF_002191835_1_ASM219183v1_genomic,002191835,0.000156838,Brucella melitensis,2
GCF_006506435_1_ASM650643v1_genomic,006506435,0.000156838,Brucella melitensis,31
GCF_000366105_1_Bruc_abor_65_110_V1_genomic,000366105,0.000235701,Brucella abortus,11
GCF_000740255_1_ASM74025v1_genomic,000740255,0.000156838,Brucella suis,2
GCF_900446095_1_59071_B01_genomic,900446095,0.000156838,Brucella melitensis,4
GCF_002953595_1_ASM295359v1_genomic,002953595,7.82718e-05,Brucella melitensis,2
GCF_001856285_1_ASM185628v1_genomic,001856285,7.82718e-05,Brucella melitensis,28
GCF_000413695_1_Bruc_abor_biovar_2_90-0737_V1_genomic,000413695,0.0,Brucella abortus,4
GCF_002290685_1_ASM229068v1_genomic,002290685,0.000634523,Brucella abortus,2
GCF_000740395_1_ASM74039v1_genomic,000740395,0.0,Brucella melitensis,2
GCF_000371065_1_Bruc_sp_UK40_99_V1_genomic,000371065,0.000235701,Brucella pinnipedialis,42
GCF_006507365_1_ASM650736v1_genomic,006507365,0.000156838,Brucella melitensis,26
GCF_000366445_1_Bruc_abor_88_226_V1_genomic,000366445,7.82718e-05,Brucella abortus,3
GCF_001766475_1_ASM176647v1_genomic,001766475,0.000156838,Brucella melitensis,49
GCF_003516085_1_ASM351608v1_genomic,003516085,7.82718e-05,Brucella melitensis,1
GCF_000413715_1_Bruc_abor_biovar_2_90-1280_V1_genomic,000413715,7.82718e-05,Brucella abortus,4
GCF_003194875_1_ASM319487v1_genomic,003194875,0.000156838,Brucella abortus,2
GCF_000370865_1_Bruc_meli_UK37_05_V1_genomic,000370865,0.000235701,Brucella melitensis,10
GCF_000742055_1_ASM74205v1_genomic,000742055,7.82718e-05,Brucella suis,1
